book	chapter	verse	decision	chosen	farskipper	thiagobodruk	openbibles	scrollmapper
Genesis	2	21	plurality 2/4	And the LORD God caused a deep sleep to fall upon Adam, and he slept: and he took one of his ribs, and closed up the flesh instead thereof;	And the LORD God caused a deep sleep to fall upon Adam, and he slept: and he took one of his ribs, and closed up the flesh instead thereof;	And the LORD God caused a deep sleep to fall upon Adam, and he slept: and he took one of his ribs, and closed up the flesh instead thereof;	And the LORD God caused a deep sleep to fall upon Adam and he slept: and he took one of his ribs, and closed up the flesh instead thereof;	And the Lord God caused a deep sleep to fall upon Adam, and he slept: and he took one of his ribs, and closed up the flesh instead thereof;
Genesis	3	24	plurality 3/4	So he drove out the man; and he placed at the east of the garden of Eden Cherubims, and a flaming sword which turned every way, to keep the way of the tree of life.	So he drove out the man; and he placed at the east of the garden of Eden Cherubims, and a flaming sword which turned every way, to keep the way of the tree of life.	So he drove out the man; and he placed at the east of the garden of Eden Cherubims, and a flaming sword which turned every way, to keep the way of the tree of life.	So he drove out the man; and he placed at the east of the garden of Eden Cherubim, and a flaming sword which turned every way, to keep the way of the tree of life.	So he drove out the man; and he placed at the east of the garden of Eden Cherubims, and a flaming sword which turned every way, to keep the way of the tree of life.
Genesis	10	7	plurality 3/4	And the sons of Cush; Seba, and Havilah, and Sabtah, and Raamah, and Sabtecha: and the sons of Raamah; Sheba, and Dedan.	And the sons of Cush; Seba, and Havilah, and Sabtah, and Raamah, and Sabtecha: and the sons of Raamah; Sheba, and Dedan.	And the sons of Cush; Seba, and Havilah, and Sabtah, and Raamah, and Sabtecha: and the sons of Raamah; Sheba, and Dedan.	And the sons of Cush; Seba, and Havilah, and Sabtah, and Raamah, and Sabtechah: and the sons of Raamah; Sheba, and Dedan.	And the sons of Cush; Seba, and Havilah, and Sabtah, and Raamah, and Sabtecha: and the sons of Raamah; Sheba, and Dedan.
Genesis	10	26	plurality 3/4	And Joktan begat Almodad, and Sheleph, and Hazarmaveth, and Jerah,	And Joktan begat Almodad, and Sheleph, and Hazarmaveth, and Jerah,	And Joktan begat Almodad, and Sheleph, and Hazarmaveth, and Jerah,	And Joktan begat Almodad, and Sheleph, and Hazar-maveth, and Jerah,	And Joktan begat Almodad, and Sheleph, and Hazarmaveth, and Jerah,
Genesis	12	8	plurality 2/4	And he removed from thence unto a mountain on the east of Beth-el, and pitched his tent, having Beth-el on the west, and Hai on the east: and there he builded an altar unto the LORD, and called upon the name of the LORD.	And he removed from thence unto a mountain on the east of Beth-el, and pitched his tent, having Beth-el on the west, and Hai on the east: and there he builded an altar unto the LORD, and called upon the name of the LORD.	And he removed from thence unto a mountain on the east of Beth-el, and pitched his tent, having Beth-el on the west, and Hai on the east: and there he builded an altar unto the LORD, and called upon the name of the LORD.	And he removed from thence unto a mountain on the east of Bethel, and pitched his tent, having Bethel on the west, and Hai on the east: and there he builded an altar unto the LORD, and called upon the name of the LORD.	And he removed from thence unto a mountain on the east of Beth–el, and pitched his tent, having Beth–el on the west, and Hai on the east: and there he builded an altar unto the Lord, and called upon the name of the Lord.
Genesis	13	3	plurality 2/4	And he went on his journeys from the south even to Beth-el, unto the place where his tent had been at the beginning, between Beth-el and Hai;	And he went on his journeys from the south even to Beth-el, unto the place where his tent had been at the beginning, between Beth-el and Hai;	And he went on his journeys from the south even to Beth-el, unto the place where his tent had been at the beginning, between Beth-el and Hai;	And he went on his journeys from the south even to Bethel, unto the place where his tent had been at the beginning, between Bethel and Hai;	And he went on his journeys from the south even to Beth–el, unto the place where his tent had been at the beginning, between Beth–el and Hai;
Genesis	14	7	plurality 2/4	And they returned, and came to En-mishpat, which is Kadesh, and smote all the country of the Amalekites, and also the Amorites, that dwelt in Hazezon-tamar.	And they returned, and came to En-mishpat, which is Kadesh, and smote all the country of the Amalekites, and also the Amorites, that dwelt in Hazezon-tamar.	And they returned, and came to En-mishpat, which is Kadesh, and smote all the country of the Amalekites, and also the Amorites, that dwelt in Hazezon-tamar.	And they returned, and came to En-mishpat, which is Kadesh, and smote all the country of the Amalekites, and also the Amorites that dwelt in Hazezon-tamar.	And they returned, and came to En–mishpat, which is Kadesh, and smote all the country of the Amalekites, and also the Amorites, that dwelt in Hazezon–tamar.
Genesis	15	13	plurality 3/4	And he said unto Abram, Know of a surety that thy seed shall be a stranger in a land that is not theirs, and shall serve them; and they shall afflict them four hundred years;	And he said unto Abram, Know of a surety that thy seed shall be a stranger in a land that is not their's, and shall serve them; and they shall afflict them four hundred years;	And he said unto Abram, Know of a surety that thy seed shall be a stranger in a land that is not theirs, and shall serve them; and they shall afflict them four hundred years;	And he said unto Abram, Know of a surety that thy seed shall be a stranger in a land that is not theirs, and shall serve them; and they shall afflict them four hundred years;	And he said unto Abram, Know of a surety that thy seed shall be a stranger in a land that is not theirs, and shall serve them; and they shall afflict them four hundred years;
Genesis	19	20	plurality 2/4	Behold now, this city is near to flee unto, and it is a little one: Oh, let me escape thither, (is it not a little one?) and my soul shall live.	Behold now, this city is near to flee unto, and it is a little one: Oh, let me escape thither, (is it not a little one?) and my soul shall live.	Behold now, this city is near to flee unto, and it is a little one: Oh, let me escape thither, ( is it not a little one?) and my soul shall live.	Behold now, this city is near to flee unto, and it is a little one: Oh, let me escape thither, ( is it not a little one?) and my soul shall live.	Behold now, this city is near to flee unto, and it is a little one: Oh, let me escape thither, (is it not a little one?) and my soul shall live.
Genesis	19	38	plurality 2/4	And the younger, she also bare a son, and called his name Ben-ammi: the same is the father of the children of Ammon unto this day.	And the younger, she also bare a son, and called his name Ben-ammi: the same is the father of the children of Ammon unto this day.	And the younger, she also bare a son, and called his name Ben-ammi: the same is the father of the children of Ammon unto this day.	And the younger, she also bare a son, and called his name Benammi: the same is the father of the children of Ammon unto this day.	And the younger, she also bare a son, and called his name Ben–ammi: the same is the father of the children of Ammon unto this day.
