unit	status	runs	last_stop	updated	reviewer	note
00	review	1	DONE	2026-09-25T00:45:28Z		checker and judge passed; waiting for your review
01	review	1	DONE	2026-09-25T01:10:43Z		checker and judge passed; waiting for your review
02	review	2	DONE	2026-09-24T23:36:45Z		checker and judge passed; waiting for your review
03	stuck	1	STUCK	2026-09-25T01:21:40Z		read reviews/john-03.escalation.md
04	stuck	1	STUCK	2026-09-25T01:21:46Z		read reviews/john-04.escalation.md
05	todo	0				
06	todo	0				
07	todo	0				
08	todo	0				
09	todo	0				
10	todo	0				
11	todo	0				
12	todo	0				
13	todo	0				
14	todo	0				
15	todo	0				
16	todo	0				
17	todo	0				
18	todo	0				
19	todo	0				
20	todo	0				
21	todo	0				
